Node#	Received
160		212
62		179
107		169
121		157
86		154
434		151
183		143
129		139
64		136
128		132
106		128
166		127
5		124
82		121
283		120
211		118
256		118
301		116
105		115
249		112
21		111
87		109
114		109
420		109
282		106
63		104
280		104
58		103
115		101
212		101
142		99
96		97
28		96
169		96
820		96
333		94
6		93
44		92
81		92
165		92
340		92
365		90
424		90
377		88
170		87
83		86
366		86
329		85
533		85
303		83
405		83
252		82
494		80
2		77
137		77
210		77
232		77
74		76
371		76
438		76
215		75
473		75
4		74
113		74
411		74
133		73
493		73
546		73
184		72
419		72
367		71
172		70
296		70
269		69
16		68
23		68
46		68
116		68
141		68
180		68
285		68
290		67
41		66
393		66
518		66
174		65
459		65
20		64
168		63
173		63
440		63
3		62
11		62
19		62
51		62
362		62
13		61
17		61
80		61
189		61
404		61
474		61
498		61
152		60
209		60
412		60
271		58
859		58
89		57
222		56
14		55
30		55
61		55
295		55
57		54
157		54
221		54
35		53
155		53
375		53
417		53
450		53
856		53
932		53
132		52
208		52
305		52
338		52
1		51
27		51
93		51
162		51
455		51
506		51
42		50
214		50
318		50
526		50
7		49
167		49
179		49
231		49
495		49
29		48
40		48
84		48
236		48
421		48
520		48
47		47
145		47
191		47
245		47
263		47
356		47
361		47
427		47
509		47
612		47
12		46
18		46
48		46
59		46
131		46
226		46
243		46
426		46
531		46
15		45
143		45
181		45
233		45
255		45
281		45
368		45
950		45
206		44
342		44
441		44
460		44
486		44
809		44
812		44
36		43
103		43
158		43
201		43
218		43
261		43
351		43
464		43
54		42
151		42
194		42
357		42
443		42
549		42
10		41
69		41
177		41
223		41
272		41
286		41
355		41
430		41
458		41
513		41
65		40
278		40
300		40
320		40
339		40
358		40
615		40
31		39
56		39
60		39
68		39
164		39
171		39
187		39
203		39
363		39
481		39
499		39
515		39
593		39
661		39
45		38
92		38
154		38
199		38
316		38
408		38
94		37
95		37
108		37
147		37
163		37
321		37
326		37
337		37
601		37
654		37
685		37
100		36
130		36
139		36
213		36
238		36
376		36
395		36
466		36
483		36
504		36
552		36
55		35
79		35
85		35
135		35
161		35
284		35
308		35
482		35
8		34
159		34
200		34
234		34
292		34
379		34
389		34
397		34
480		34
490		34
525		34
707		34
963		34
39		33
124		33
140		33
197		33
380		33
448		33
543		33
0		32
25		32
32		32
104		32
150		32
258		32
306		32
314		32
336		32
401		32
423		32
529		32
738		32
251		31
265		31
311		31
323		31
422		31
26		30
88		30
123		30
250		30
394		30
409		30
429		30
38		29
138		29
178		29
190		29
195		29
207		29
254		29
268		29
309		29
327		29
353		29
390		29
400		29
418		29
452		29
547		29
569		29
592		29
126		28
182		28
204		28
242		28
288		28
304		28
360		28
447		28
544		28
560		28
590		28
667		28
847		28
9		27
53		27
91		27
136		27
205		27
229		27
244		27
264		27
381		27
478		27
485		27
489		27
581		27
700		27
880		27
24		26
188		26
216		26
325		26
437		26
508		26
562		26
607		26
655		26
845		26
73		25
101		25
176		25
193		25
225		25
259		25
275		25
406		25
444		25
457		25
462		25
550		25
586		25
611		25
671		25
776		25
33		24
90		24
118		24
149		24
273		24
310		24
346		24
347		24
378		24
413		24
445		24
698		24
900		24
34		23
78		23
98		23
99		23
153		23
196		23
237		23
253		23
266		23
274		23
302		23
335		23
345		23
373		23
387		23
388		23
428		23
431		23
492		23
568		23
608		23
714		23
37		22
76		22
228		22
262		22
291		22
294		22
372		22
407		22
442		22
446		22
572		22
588		22
665		22
699		22
747		22
754		22
826		22
832		22
