Node#	Sent
160		334
82		227
121		222
107		204
86		202
62		190
13		172
249		160
183		159
434		157
5		156
211		145
129		136
377		131
84		130
21		129
114		127
87		125
166		125
333		125
533		123
142		120
820		120
83		119
105		119
283		118
282		117
58		115
63		114
64		113
252		113
424		113
115		112
128		110
405		110
6		109
212		108
96		107
17		106
420		106
169		105
106		102
165		101
280		95
411		95
494		95
971		94
133		93
419		91
473		91
4		89
81		89
932		88
301		87
303		87
2		84
65		84
409		84
498		84
44		83
254		83
74		82
170		82
209		79
232		79
366		79
438		79
28		78
295		78
329		77
404		77
93		76
285		76
546		76
549		76
393		75
41		74
172		74
14		73
215		73
11		72
113		72
340		72
157		70
180		70
300		70
116		69
493		69
450		68
7		67
42		67
137		67
141		67
173		67
495		67
290		66
342		66
859		66
167		65
367		65
474		65
23		64
210		64
269		64
371		64
412		64
440		64
61		63
155		63
145		61
168		61
184		61
57		60
69		60
174		59
271		59
486		59
19		58
80		58
132		58
231		58
375		58
30		57
281		57
3		56
191		56
263		56
856		56
206		55
417		55
812		55
20		54
181		54
218		54
233		54
305		54
40		53
89		53
321		53
455		53
60		52
256		52
379		52
408		52
426		52
48		51
201		51
258		51
506		51
560		51
12		50
131		50
615		50
46		49
187		49
339		49
362		49
51		48
54		48
152		48
338		48
351		48
358		48
520		48
16		47
222		47
223		47
226		47
314		47
427		47
29		46
153		46
255		46
318		46
27		45
147		45
199		45
213		45
443		45
526		45
685		45
35		44
59		44
177		44
182		44
363		44
376		44
390		44
430		44
466		44
31		43
221		43
234		43
355		43
537		43
809		43
18		42
162		42
163		42
243		42
320		42
459		42
0		41
38		41
56		41
143		41
164		41
309		41
401		41
499		41
68		40
95		40
158		40
278		40
284		40
306		40
357		40
481		40
482		40
509		40
518		40
963		40
92		39
179		39
238		39
373		39
458		39
45		38
100		38
189		38
272		38
422		38
452		38
15		37
24		37
47		37
108		37
245		37
353		37
387		37
55		36
154		36
214		36
265		36
423		36
448		36
460		36
661		36
79		35
124		35
198		35
236		35
253		35
264		35
286		35
464		35
478		35
513		35
747		35
10		34
94		34
188		34
194		34
368		34
370		34
480		34
569		34
9		33
103		33
159		33
195		33
251		33
504		33
531		33
564		33
37		32
275		32
288		32
323		32
359		32
361		32
380		32
425		32
437		32
483		32
489		32
543		32
53		31
140		31
151		31
176		31
261		31
400		31
592		31
138		30
139		30
268		30
337		30
356		30
389		30
429		30
441		30
525		30
73		29
91		29
118		29
123		29
178		29
266		29
394		29
397		29
548		29
8		28
85		28
171		28
196		28
327		28
845		28
896		28
146		27
229		27
381		27
395		27
515		27
529		27
562		27
612		27
34		26
66		26
149		26
161		26
190		26
237		26
444		26
447		26
453		26
552		26
581		26
698		26
738		26
748		26
917		26
126		25
259		25
273		25
413		25
593		25
695		25
976		25
981		25
52		24
97		24
125		24
193		24
197		24
216		24
250		24
291		24
292		24
308		24
316		24
322		24
346		24
461		24
490		24
492		24
707		24
756		24
813		24
936		24
26		23
32		23
135		23
150		23
242		23
262		23
310		23
311		23
326		23
332		23
372		23
428		23
508		23
568		23
607		23
608		23
638		23
655		23
720		23
832		23
860		23
908		23
918		23
90		22
122		22
185		22
200		22
304		22
336		22
665		22
828		22
949		22
101		21
102		21
134		21
296		21
457		21
589		21
880		21
36		20
88		20
127		20
186		20
204		20
225		20
235		20
244		20
307		20
312		20
331		20
335		20
345		20
418		20
445		20
485		20
547		20
563		20
823		20
826		20
33		19
99		19
217		19
230		19
299		19
352		19
433		19
446		19
462		19
470		19
491		19
666		19
674		19
754		19
776		19
922		19
25		18
75		18
192		18
260		18
294		18
302		18
317		18
349		18
350		18
374		18
388		18
406		18
467		18
496		18
502		18
542		18
690		18
815		18
847		18
77		17
98		17
136		17
148		17
156		17
240		17
241		17
287		17
293		17
360		17
484		17
541		17
573		17
602		17
611		17
681		17
822		17
892		17
914		17
39		16
104		16
248		16
277		16
344		16
421		16
519		16
544		16
551		16
570		16
579		16
610		16
641		16
700		16
726		16
777		16
810		16
933		16
76		15
246		15
328		15
334		15
343		15
385		15
557		15
572		15
590		15
803		15
851		15
925		15
22		14
71		14
120		14
205		14
207		14
257		14
298		14
325		14
407		14
435		14
465		14
516		14
545		14
550		14
566		14
582		14
588		14
621		14
662		14
900		14
913		14
931		14
117		13
297		13
347		13
487		13
500		13
510		13
523		13
577		13
599		13
601		13
627		13
644		13
651		13
699		13
730		13
930		13
953		13
50		12
70		12
451		12
469		12
521		12
527		12
597		12
667		12
708		12
710		12
719		12
733		12
926		12
927		12
929		12
324		11
391		11
414		11
431		11
471		11
497		11
511		11
528		11
536		11
671		11
678		11
753		11
840		11
883		11
49		10
144		10
220		10
247		10
267		10
442		10
488		10
538		10
765		10
768		10
816		10
865		10
886		10
907		10
980		10
175		9
208		9
224		9
378		9
392		9
554		9
613		9
635		9
640		9
679		9
723		9
818		9
872		9
905		9
921		9
950		9
957		9
1001	9
43		8
112		8
274		8
341		8
354		8
399		8
403		8
410		8
535		8
556		8
559		8
565		8
587		8
642		8
647		8
663		8
714		8
783		8
833		8
841		8
951		8
67		7
270		7
279		7
454		7
477		7
530		7
553		7
585		7
591		7
598		7
619		7
649		7
652		7
686		7
786		7
952		7
956		7
72		6
110		6
313		6
330		6
369		6
540		6
596		6
654		6
802		6
806		6
924		6
947		6
974		6
979		6
1000	6
512		5
600		5
616		5
623		5
745		5
797		5
811		5
909		5
919		5
937		5
970		5
109		4
503		4
507		4
517		4
618		4
645		4
664		4
669		4
672		4
694		4
696		4
706		4
717		4
728		4
743		4
766		4
800		4
814		4
869		4
885		4
887		4
912		4
415		3
456		3
514		3
522		3
534		3
539		3
555		3
558		3
609		3
632		3
643		3
725		3
727		3
741		3
742		3
751		3
760		3
789		3
793		3
799		3
817		3
829		3
855		3
877		3
878		3
889		3
895		3
898		3
906		3
939		3
954		3
955		3
958		3
978		3
991		3
219		2
276		2
348		2
364		2
365		2
463		2
476		2
567		2
614		2
620		2
634		2
673		2
689		2
692		2
697		2
705		2
713		2
715		2
716		2
721		2
734		2
736		2
737		2
758		2
763		2
773		2
778		2
788		2
791		2
821		2
825		2
836		2
837		2
846		2
852		2
891		2
923		2
935		2
945		2
969		2
989		2
990		2
992		2
1		1
111		1
119		1
130		1
202		1
227		1
228		1
319		1
383		1
396		1
402		1
416		1
432		1
479		1
501		1
524		1
532		1
580		1
617		1
624		1
628		1
629		1
630		1
631		1
633		1
636		1
637		1
639		1
646		1
648		1
650		1
653		1
658		1
659		1
660		1
670		1
675		1
683		1
684		1
691		1
703		1
704		1
711		1
731		1
732		1
735		1
740		1
744		1
746		1
750		1
755		1
757		1
759		1
772		1
779		1
784		1
790		1
798		1
808		1
824		1
835		1
838		1
839		1
843		1
844		1
849		1
858		1
863		1
866		1
875		1
879		1
884		1
890		1
901		1
902		1
903		1
920		1
938		1
941		1
942		1
943		1
944		1
962		1
968		1
977		1
982		1
995		1
996		1
999		1
1003	1
78		0
203		0
239		0
289		0
315		0
382		0
384		0
386		0
398		0
436		0
439		0
449		0
468		0
472		0
475		0
505		0
561		0
571		0
574		0
575		0
576		0
578		0
583		0
584		0
586		0
594		0
595		0
603		0
604		0
605		0
606		0
622		0
625		0
626		0
656		0
657		0
668		0
676		0
677		0
680		0
682		0
687		0
688		0
693		0
701		0
702		0
709		0
712		0
718		0
722		0
724		0
729		0
739		0
749		0
752		0
761		0
762		0
764		0
767		0
769		0
770		0
771		0
774		0
775		0
780		0
781		0
782		0
785		0
787		0
792		0
794		0
795		0
796		0
801		0
804		0
805		0
807		0
819		0
827		0
830		0
831		0
834		0
842		0
848		0
850		0
853		0
854		0
857		0
861		0
862		0
864		0
867		0
868		0
870		0
871		0
873		0
874		0
876		0
881		0
882		0
888		0
893		0
894		0
897		0
899		0
904		0
910		0
911		0
915		0
916		0
928		0
934		0
940		0
946		0
948		0
959		0
960		0
961		0
964		0
965		0
966		0
967		0
972		0
973		0
975		0
983		0
984		0
985		0
986		0
987		0
988		0
993		0
994		0
997		0
998		0
1002	0
1004	0
