Node#	Total
160		546
121		379
107		373
62		369
86		356
82		348
434		308
183		302
5		280
129		275
249		272
211		263
166		252
64		249
128		242
21		240
283		238
114		236
87		234
105		234
13		233
106		230
282		223
142		219
333		219
377		219
58		218
63		218
820		216
420		215
115		213
212		209
533		208
83		205
96		204
301		203
424		203
6		202
169		201
280		199
252		195
165		193
405		193
81		181
84		178
44		175
494		175
28		174
256		170
303		170
170		169
411		169
17		167
133		166
473		166
366		165
340		164
4		163
419		163
329		162
2		161
74		158
232		156
438		155
546		149
215		148
113		146
498		145
137		144
172		144
285		144
493		142
210		141
393		141
932		141
41		140
371		140
209		139
180		138
404		138
116		137
367		136
141		135
11		134
184		133
269		133
290		133
295		133
23		132
173		130
14		128
93		127
440		127
474		126
65		124
157		124
168		124
174		124
412		124
859		124
450		121
19		120
80		119
3		118
20		118
61		118
549		118
42		117
46		117
271		117
7		116
155		116
495		116
16		115
57		114
167		114
409		114
30		112
254		112
362		111
375		111
51		110
89		110
132		110
300		110
342		110
856		109
145		108
152		108
417		108
231		107
459		107
305		106
518		106
455		104
971		104
191		103
222		103
263		103
486		103
281		102
506		102
40		101
69		101
338		100
181		99
189		99
206		99
233		99
812		99
426		98
35		97
48		97
218		97
221		97
12		96
27		96
131		96
318		96
520		96
526		95
29		94
201		94
427		94
162		93
226		93
365		92
60		91
255		91
296		91
351		91
54		90
59		90
321		90
408		90
615		90
339		89
18		88
179		88
187		88
223		88
243		88
358		88
443		87
509		87
809		87
143		86
214		86
379		86
177		85
430		85
47		84
245		84
355		84
158		83
199		83
236		83
258		83
363		83
15		82
31		82
147		82
320		82
357		82
685		82
213		81
56		80
164		80
278		80
376		80
458		80
460		80
466		80
499		80
68		79
163		79
272		79
314		79
361		79
368		79
481		79
531		79
560		79
464		78
92		77
95		77
234		77
356		77
45		76
103		76
194		76
286		76
513		76
10		75
238		75
284		75
482		75
661		75
100		74
108		74
154		74
261		74
441		74
612		74
963		74
0		73
151		73
390		73
401		73
182		72
306		72
55		71
94		71
38		70
79		70
309		70
153		69
422		69
448		69
504		69
124		68
423		68
480		68
483		68
159		67
171		67
265		67
337		67
452		67
139		66
353		66
515		66
380		65
543		65
140		64
251		64
389		64
421		64
525		64
593		64
24		63
36		63
85		63
323		63
395		63
397		63
569		63
8		62
195		62
264		62
316		62
373		62
478		62
552		62
161		61
208		61
537		61
9		60
188		60
288		60
326		60
387		60
400		60
429		60
592		60
123		59
138		59
268		59
308		59
394		59
489		59
529		59
53		58
135		58
178		58
253		58
292		58
437		58
490		58
707		58
738		58
197		57
275		57
327		57
747		57
91		56
176		56
200		56
32		55
150		55
190		55
37		54
73		54
198		54
229		54
250		54
311		54
336		54
381		54
447		54
845		54
950		54
26		53
118		53
126		53
562		53
581		53
1		52
266		52
359		52
196		51
242		51
444		51
25		50
88		50
149		50
216		50
259		50
304		50
601		50
698		50
34		49
39		49
193		49
237		49
273		49
413		49
418		49
425		49
508		49
547		49
548		49
607		49
655		49
896		49
104		48
204		48
346		48
370		48
880		48
244		47
310		47
485		47
492		47
748		47
66		46
90		46
101		46
291		46
428		46
453		46
457		46
568		46
608		46
847		46
97		45
225		45
262		45
360		45
372		45
832		45
125		44
136		44
322		44
445		44
462		44
544		44
665		44
776		44
917		44
33		43
122		43
207		43
335		43
345		43
406		43
590		43
654		43
700		43
908		43
52		42
99		42
134		42
611		42
826		42
918		42
146		41
205		41
302		41
312		41
332		41
388		41
446		41
754		41
756		41
828		41
98		40
186		40
294		40
299		40
325		40
352		40
461		40
470		40
667		40
823		40
949		40
203		39
331		39
550		39
720		39
860		39
235		38
350		38
433		38
467		38
496		38
900		38
76		37
102		37
130		37
156		37
192		37
240		37
241		37
260		37
317		37
347		37
572		37
589		37
602		37
681		37
127		36
230		36
248		36
349		36
385		36
407		36
484		36
502		36
564		36
588		36
671		36
695		36
922		36
981		36
77		35
343		35
666		35
699		35
914		35
976		35
217		34
287		34
431		34
573		34
293		33
334		33
378		33
545		33
777		33
75		32
185		32
277		32
297		32
307		32
442		32
510		32
511		32
542		32
563		32
570		32
579		32
690		32
815		32
822		32
148		31
274		31
328		31
500		31
541		31
710		31
714		31
803		31
892		31
913		31
933		31
936		31
257		30
344		30
391		30
469		30
557		30
566		30
662		30
71		29
523		29
638		29
708		29
813		29
925		29
70		28
117		28
120		28
267		28
392		28
551		28
641		28
642		28
674		28
679		28
753		28
765		28
816		28
22		27
50		27
246		27
374		27
497		27
527		27
582		27
621		27
663		27
840		27
930		27
931		27
399		26
491		26
516		26
597		26
640		26
112		25
247		25
324		25
403		25
487		25
521		25
586		25
644		25
651		25
726		25
220		24
610		24
719		24
851		24
926		24
49		23
78		23
228		23
298		23
313		23
465		23
519		23
627		23
768		23
929		23
536		22
587		22
730		22
733		22
872		22
883		22
907		22
953		22
990		22
144		21
468		21
532		21
927		21
219		20
227		20
451		20
528		20
554		20
571		20
678		20
723		20
728		20
921		20
956		20
43		19
224		19
270		19
471		19
538		19
576		19
647		19
810		19
818		19
865		19
957		19
354		18
435		18
477		18
555		18
577		18
175		17
341		17
410		17
488		17
517		17
535		17
613		17
618		17
672		17
951		17
279		16
384		16
503		16
565		16
585		16
599		16
643		16
649		16
758		16
919		16
924		16
980		16
67		15
110		15
330		15
396		15
501		15
530		15
553		15
556		15
598		15
600		15
686		15
725		15
734		15
841		15
119		14
414		14
454		14
514		14
540		14
558		14
559		14
591		14
623		14
706		14
717		14
947		14
952		14
1001	14
505		13
619		13
664		13
789		13
833		13
974		13
72		12
319		12
369		12
624		12
783		12
786		12
804		12
886		12
937		12
987		12
239		11
276		11
364		11
575		11
635		11
652		11
656		11
694		11
696		11
806		11
877		11
905		11
909		11
955		11
1000	11
402		10
539		10
616		10
669		10
683		10
745		10
797		10
811		10
954		10
111		9
476		9
512		9
596		9
645		9
705		9
764		9
869		9
109		8
289		8
315		8
386		8
432		8
507		8
604		8
609		8
628		8
697		8
721		8
729		8
736		8
741		8
751		8
771		8
799		8
800		8
814		8
817		8
849		8
202		7
383		7
472		7
617		7
639		7
687		7
715		7
735		7
743		7
760		7
778		7
791		7
802		7
835		7
836		7
852		7
854		7
855		7
885		7
887		7
889		7
906		7
923		7
970		7
979		7
991		7
348		6
415		6
479		6
522		6
567		6
594		6
614		6
625		6
632		6
718		6
727		6
739		6
742		6
766		6
767		6
807		6
825		6
878		6
912		6
935		6
945		6
958		6
978		6
382		5
456		5
534		5
620		5
637		5
646		5
693		5
749		5
752		5
757		5
793		5
819		5
895		5
898		5
939		5
964		5
967		5
989		5
398		4
416		4
463		4
574		4
584		4
605		4
629		4
630		4
631		4
673		4
676		4
689		4
712		4
713		4
716		4
722		4
737		4
740		4
763		4
785		4
796		4
805		4
829		4
837		4
857		4
866		4
867		4
891		4
903		4
934		4
968		4
969		4
977		4
436		3
439		3
634		3
636		3
659		3
682		3
692		3
704		3
709		3
769		3
773		3
779		3
781		3
782		3
784		3
788		3
821		3
844		3
846		3
848		3
870		3
874		3
884		3
890		3
911		3
962		3
983		3
984		3
986		3
992		3
997		3
475		2
580		2
633		2
648		2
650		2
653		2
658		2
660		2
670		2
675		2
677		2
684		2
691		2
702		2
703		2
711		2
